"시도별",2020,2020,2020
"시도별",전체가구 (천가구),1인가구 (천가구),1인가구 비율 (%)
"전국",20415,6214,30.4
"서울특별시",3854,1276,33.1
"부산광역시",1367,420,30.7
"대구광역시",964,283,29.4
"인천광역시",1121,297,26.5
"광주광역시",592,189,32.0
"대전광역시",611,207,33.9
"울산광역시",435,115,26.4
"세종특별자치시",135,42,31.4
"경기도",4972,1307,26.3
"강원도",642,220,34.2
"충청북도",662,219,33.2
"충청남도",879,291,33.1
"전라북도",738,245,33.2
"전라남도",742,247,33.3
"경상북도",1110,372,33.5
"경상남도",1333,402,30.2
"제주특별자치도",260,80,30.6
