지역,평균 휴양 만족 점수
강원,7.55
경기,7.74
경남,7.28
경북,8.29
광주,7.78
대구,7.85
대전,7.8
부산,7.45
서울,8.08
세종,7.47
울산,7.46
인천,7.48
전남,7.35
전북,7.79
제주,7.96
충남,7.65
충북,7.45
