지역,지수(점),등급,순위
강원도,79.11721923909307,E,16
경기도,81.26209235733347,C,10
경상남도,81.91219350541205,C,8
경상북도,80.05727400740426,D,12
광주광역시,83.96833674043079,A,2
대구광역시,81.21959844229693,C,11
대전광역시,83.39116300132129,B,3
부산광역시,81.98761654753704,C,7
서울특별시,81.29226451602763,C,9
세종특별자치시,84.95189013054879,A,1
울산광역시,82.40453258883767,B,6
인천광역시,82.61778382669434,B,4
전라남도,79.49215683964555,D,14
전라북도,79.79928992644255,D,13
제주특별자치도,82.58062535713626,B,5
충청남도,78.03622160620961,E,17
충청북도,79.17957794972375,D,15
