"부산광역시","여자인구수 (명)",81429,73504,49198,29950,14342,4594,1197,927,85898,76166,51999,31152,15721,5185,1203,1018,90783,77123,55371,33192,17237,5588,1234,1099,96842,75853,58154,35852,18236,6071,1348,1169,100885,75385,61700,38336,19524,6544,1551,1245,105486,77133,66830,40620,20631,7397,1736,1287,107955,81393,69269,43146,21492,8075,1939,1316,111693,86112,70323,46300,23143,8899,2073,1401,122846,91744,69349,48736,25340,9467,2276,1467,129383,94891,68545,51694,27003,10005,2122,340
"대구광역시","총인구수 (명)",89825,83681,54550,28719,12212,3868,880,417,94589,86649,58111,30873,13332,4326,906,460,100243,86765,61803,34151,14454,4627,993,501,107406,84843,64041,37722,15560,4909,1098,543,113421,82739,67796,40861,17073,5237,1183,591,119995,83333,73961,43499,18958,5795,1303,615,122776,87824,76762,46544,20525,6423,1452,628,126816,93006,77106,50027,23031,7092,1521,678,137391,99674,75602,52111,25554,7739,1690,733,146084,104441,73387,55039,27742,8479,1643,245
"대구광역시","남자인구수 (명)",41231,36065,21207,8987,3261,814,164,83,43749,37487,22843,9929,3562,926,171,100,46722,37662,24540,11395,3881,1004,198,107,50332,37030,25595,13088,4128,1076,216,120,52980,36574,27346,14462,4626,1156,218,135,56029,36870,30353,15645,5296,1311,260,137,57184,39200,31659,16905,5902,1444,294,145,59414,41924,31905,18362,6942,1613,312,158,63852,45093,31506,19315,7945,1727,346,176,68172,47087,30992,20560,8779,1893,304,31
"대구광역시","여자인구수 (명)",48594,47616,33343,19732,8951,3054,716,334,50840,49162,35268,20944,9770,3400,735,360,53521,49103,37263,22756,10573,3623,795,394,57074,47813,38446,24634,11432,3833,882,423,60441,46165,40450,26399,12447,4081,965,456,63966,46463,43608,27854,13662,4484,1043,478,65592,48624,45103,29639,14623,4979,1158,483,67402,51082,45201,31665,16089,5479,1209,520,73539,54581,44096,32796,17609,6012,1344,557,77912,57354,42395,34479,18963,6586,1339,214
"인천광역시","총인구수 (명)",89855,76637,50974,29237,13789,4897,1158,512,95278,78991,54839,31163,14791,5601,1233,575,101377,80098,58456,33564,16387,6058,1393,618,107447,81709,60438,36796,17854,6434,1526,701,108013,83667,63942,40199,19157,6799,1724,754,114703,86334,70435,42704,20725,7439,1893,791,119105,91638,72754,45891,22260,8069,2132,826,127795,97219,73919,49187,24152,9051,2342,883,143166,102525,74978,50873,26631,9854,2487,969,159876,102577,76667,53953,28900,10569,2472,417
"인천광역시","남자인구수 (명)",43013,33449,19489,8886,3653,1292,255,132,45964,34977,21388,9716,3801,1524,264,149,49231,35932,23179,10796,4235,1580,337,161,52466,37130,24212,12308,4634,1584,375,188,52795,38397,26061,13750,5080,1564,417,197,56436,39969,29193,14977,5538,1660,460,192,58430,42893,30577,16460,6061,1792,537,196,62692,45761,31495,18017,6790,2007,541,231,69863,48537,32331,18849,7833,2164,501,259,77983,48656,33555,20295,8668,2290,459,84
"인천광역시","여자인구수 (명)",46842,43188,31485,20351,10136,3605,903,380,49314,44014,33451,21447,10990,4077,969,426,52146,44166,35277,22768,12152,4478,1056,457,54981,44579,36226,24488,13220,4850,1151,513,55218,45270,37881,26449,14077,5235,1307,557,58267,46365,41242,27727,15187,5779,1433,599,60675,48745,42177,29431,16199,6277,1595,630,65103,51458,42424,31170,17362,7044,1801,652,73303,53988,42647,32024,18798,7690,1986,710,81893,53921,43112,33658,20232,8279,2013,333
"광주광역시","총인구수 (명)",48397,43021,27320,15460,7100,2591,576,267,51426,43555,29172,16404,7481,2923,643,270,54695,44029,30913,17714,8518,2986,667,300,57380,44455,32034,19112,9234,3111,749,314,58451,44765,34529,20527,9843,3277,825,355,59718,45257,38487,22098,10458,3568,931,345,60133,48017,38983,23763,11157,3737,1025,371,61567,51083,39612,25281,12193,4324,1020,399,66155,53570,39971,26441,13230,4787,1088,424,69865,54408,40139,28532,14104,4994,1072,177
"광주광역시","남자인구수 (명)",22658,18868,10487,4798,1837,469,69,34,24177,19216,11484,5143,2011,533,79,31,25677,19550,12340,5732,2271,601,89,31,26931,19980,12912,6511,2414,634,108,33,27279,20395,14133,7132,2635,692,118,39,27947,20541,16135,7855,2849,761,141,38,28020,21830,16437,8656,3122,795,178,41,28800,23162,16819,9439,3532,983,174,49,30934,24252,17182,9996,3999,1077,182,55,32901,24521,17495,10961,4372,1147,169,22
"광주광역시","여자인구수 (명)",25739,24153,16833,10662,5263,2122,507,233,27249,24339,17688,11261,5470,2390,564,239,29018,24479,18573,11982,6247,2385,578,269,30449,24475,19122,12601,6820,2477,641,281,31172,24370,20396,13395,7208,2585,707,316,31771,24716,22352,14243,7609,2807,790,307,32113,26187,22546,15107,8035,2942,847,330,32767,27921,22793,15842,8661,3341,846,350,35221,29318,22789,16445,9231,3710,906,369,36964,29887,22644,17571,9732,3847,903,155
