연번,부처명,세부사업명,본예산(백만원)
106,방송통신위원회,혁신형중소기업방송광고활성화지원,"1,350 "
107,산림청,산촌활성화지원,"15,455 "
108,산림청,목재자원의고부가가치첨단화기술개발(R&D),"8,735 "
109,산림청,산림과학기술실용화지원사업(R&D),"4,921 "
110,산림청,융복합기반임산업의신산업화기술개발(R&D),"2,115 "
111,산업통상자원부,지능형로봇보급및확산,"50,819 "
112,산업통상자원부,대한상사중재원지원,918 
113,산업통상자원부,대한무역투자진흥공사,"283,071 "
114,산업통상자원부,수출경쟁력강화지원,"41,173 "
115,산업통상자원부,수출지원기반활용(산업부),"81,692 "
116,산업통상자원부,전시산업경쟁력강화지원,"4,561 "
117,산업통상자원부,CDM기반정밀의료데이터통합플랫폼기술개발(R&D),"4,980 "
118,산업통상자원부,바이오산업기술개발(R&D),"110,675 "
119,산업통상자원부,포스트게놈신산업육성을위한다부처유전체사업(R&D)(산업부),"3,430 "
120,산업통상자원부,산업용임베디드시스템기술개발(R&D),"8,357 "
121,산업통상자원부,시스템반도체핵심IP개발(R&D),"7,992 "
122,산업통상자원부,차세대지능형반도체기술개발(설계·제조)(R&D),"63,703 "
123,산업통상자원부,차세대하이브리드PCB기술개발(R&D),"4,900 "
124,산업통상자원부,미래형스마트그리드실증(R&D),"5,357 "
125,산업통상자원부,신재생전원확대와전력계통안정화를위한RMS기술개발(R&D),"4,365 "
126,산업통상자원부,에너지신산업기반구축,"4,865 "
127,산업통상자원부,전력표준화및인증지원사업(R&D),"1,346 "
128,산업통상자원부,ESS기술개발사업(R&D),"4,080 "
129,산업통상자원부,스마트그리드핵심기술개발(R&D),"14,457 "
130,산업통상자원부,산업기술국제협력(R&D),"81,896 "
131,산업통상자원부,우수기술연구센터(ATC),"25,200 "
132,산업통상자원부,우수기업연구소육성(ATC+)(R&D),"39,812 "
133,산업통상자원부,혁신성장동력프로젝트(R&D)(산업부),"5,000 "
134,산업통상자원부,기술성과활용촉진,"25,088 "
135,산업통상자원부,사업화연계기술개발(R&D),"14,855 "
136,산업통상자원부,소재부품산업기술개발기반구축(R&D),"195,437 "
137,산업통상자원부,청정제조기반구축(R&D),"1,980 "
138,산업통상자원부,나노융합산업핵심기술개발사업,"9,000 "
139,산업통상자원부,나노제품성능안전평가기술개발및기업지원,"3,320 "
140,산업통상자원부,섬유의류혁신역량강화사업,"5,278 "
141,산업통상자원부,소재부품산업전문기술개발사업(R&D),"12,391 "
142,산업통상자원부,안전보호융복합섬유산업육성사업,"8,636 "
143,산업통상자원부,소재부품장비혁신Lab기술개발,"9,297 "
144,산업통상자원부,뿌리산업경쟁력강화지원,"13,890 "
145,산업통상자원부,소재부품글로벌투자연계기술개발(R&D),"9,741 "
146,산업통상자원부,소재부품기술개발(R&D),"886,632 "
147,산업통상자원부,안전산업경쟁력강화(R&D),"1,847 "
148,산업통상자원부,글로벌주력산업품질대응뿌리기술개발사업(R&D),"27,272 "
149,산업통상자원부,산업소재핵심기술개발사업(R&D),"48,202 "
150,산업통상자원부,가격변동리스크헷지지원,"46,658 "
151,산업통상자원부,중소기업수출신용보증지원,"136,905 "
152,산업통상자원부,해외플랜트진출확대,"8,372 "
153,산업통상자원부,에너지수요관리핵심기술개발(에특)(R&D),"214,010 "
154,산업통상자원부,기술혁신형에너지강소기업육성(R&D),"4,668 "
155,산업통상자원부,에너지국제공동연구(R&D),"19,132 "
156,산업통상자원부,에너지절약시설설치(융자),"326,000 "
157,산업통상자원부,에너지진단보조,"10,575 "
158,산업통상자원부,제조업소프트파워강화지원,"2,566 "
159,산업통상자원부,원자력핵심기술개발(R&D),"56,218 "
160,산업통상자원부,원전안전부품경쟁력강화기술개발(R&D),"6,526 "
161,산업통상자원부,원전중대사고방지안전강화기술개발(R&D),"7,050 "
162,산업통상자원부,산업집적지경쟁력강화(R&D),"72,196 "
163,산업통상자원부,산학융합지구조성사업(R&D),"11,748 "
164,산업통상자원부,지역혁신클러스터육성,"9,000 "
165,산업통상자원부,e-모빌리티기업지원센터구축지원,"5,500 "
166,산업통상자원부,드론활용서비스시장창출지원(R&D),"8,580 "
167,산업통상자원부,산업위기지역미래자동차핵심부품개발(R&D),"1,875 "
168,산업통상자원부,산업위기지역미래형전기차부품개발(R&D),"5,508 "
169,산업통상자원부,수출연계형자동차부품기술개발(R&D),"4,366 "
170,산업통상자원부,자동차부품기업혁신지원,"5,845 "
171,산업통상자원부,자율비행개인항공기기술개발(R&D),"7,335 "
172,산업통상자원부,전기차통합유지보수기반구축(R&D),"2,592 "
173,산업통상자원부,자원개발기술개발(R&D),"5,664 "
174,산업통상자원부,신재생에너지핵심기술개발(R&D),"283,890 "
175,산업통상자원부,신재생에너지금융지원(융자),"534,000 "
176,산업통상자원부,LNG발전용가스터빈고온부품성능검증혁신기술개발(R&D),"4,455 "
177,산업통상자원부,발전용가스터빈연료다변화기술개발사업(R&D),"5,986 "
178,산업통상자원부,석탄발전미세먼지저감친환경설비혁신기술개발(R&D)(산업부),"6,833 "
179,산업통상자원부,글로벌중견기업육성프로젝트지원(R&D),"32,220 "
180,산업통상자원부,사회적경제혁신성장,"24,610 "
181,산업통상자원부,사회적경제혁신성장(R&D),"5,793 "
182,산업통상자원부,지역혁신클러스터육성(R&D),"77,888 "
183,산업통상자원부,지역혁신클러스터육성(R&D)(세종),"5,991 "
184,산업통상자원부,지역활력프로젝트,"18,725 "
185,산업통상자원부,i-Ceramic플랫폼구축사업(R&D),"5,000 "
186,산업통상자원부,수송분야비배기관미세먼지저감사업(R&D),"7,000 "
187,산업통상자원부,통상협정국내대책추진지원,"14,313 "
188,산업통상자원부,대체물질활용기술개발,655 
189,산업통상자원부,전자부품산업기술(R&D),"127,013 "
190,산업통상자원부,자동차산업기술개발(R&D),"156,711 "
191,산업통상자원부,산업혁신기반구축,"186,840 "
192,식품의약품안전처,HACCP제도활성화,"7,281 "
193,식품의약품안전처,의약품품질고도화,"6,838 "
194,조달청,정부조달국제협력제체구축,"3,347 "
195,조달청,조달물자구매및관리지원(자본),"44,500 "
196,중소벤처기업부,원스톱기업애로종합지원,"11,583 "
197,중소벤처기업부,글로벌협력기반구축,"1,864 "
198,중소벤처기업부,기술혁신기반조성,"15,875 "
199,중소벤처기업부,규제자유특구실증기반조성(정보화),"13,010 "
200,중소벤처기업부,규제자유특구실증기반조성(R&D),"25,134 "
201,중소벤처기업부,규제자유특구혁신사업육성,"28,680 "
202,중소벤처기업부,규제자유특구혁신사업육성(R&D),"98,480 "
203,중소벤처기업부,글로벌화지원플랫폼,"31,064 "
204,중소벤처기업부,중소기업해외시장진출,"91,696 "
205,중소벤처기업부,창업사업화지원,"442,456 "
206,중소벤처기업부,수출지원기반활용(중기부),"106,361 "
207,중소벤처기업부,온라인수출플랫폼(정보화),"3,684 "
208,중소벤처기업부,Tech-Bridge활용상용화기술개발사업,"24,923 "
209,중소벤처기업부,글로벌중소기업육성프로젝트지원사업,"49,132 "
210,중소벤처기업부,기술규제해결형기술개발(R&D),"13,856 "
211,중소벤처기업부,기술지주회사자회사R&BD지원(R&D),"9,975 "
212,중소벤처기업부,미세먼지저감실용화기술개발(R&D),"7,785 "
213,중소벤처기업부,산학연CollaboR&D,"46,572 "
214,중소벤처기업부,산학협력거점형플랫폼(R&D),"11,633 "
215,중소벤처기업부,예비가젤형기술개발(R&D),"12,408 "
216,중소벤처기업부,중소기업R&D역량제고(R&D),"14,972 "
217,중소벤처기업부,중소기업기술사업화역량강화(R&D),"4,350 "
218,중소벤처기업부,중소기업기술혁신개발(R&D)(일반),"288,783 "
219,중소벤처기업부,중소기업상용화기술개발사업(R&D),"201,103 "
220,중소벤처기업부,중소기업지원선도연구기관협력기술개발,"6,093 "
221,중소벤처기업부,지역중소기업공동수요기술개발,"6,077 "
222,중소벤처기업부,창업성장기술개발(R&D)(일반),"408,578 "
223,중소벤처기업부,해외원천기술상용화기술개발(R&D),"3,790 "
224,중소벤처기업부,해외인증규격적합제품기술개발(R&D),"10,469 "
225,중소벤처기업부,중소기업정보화역량강화(정보화),"6,943 "
226,중소벤처기업부,AI기반고부가신제품기술개발(R&D),"7,715 "
227,중소벤처기업부,ICT융합스마트공장보급·확산,"437,690 "
228,중소벤처기업부,빅데이터기반서비스개발지원사업(R&D),"13,000 "
229,중소벤처기업부,융복합기술교류촉진(R&D),"3,710 "
230,중소벤처기업부,중소기업스마트서비스지원,"9,288 "
231,중소벤처기업부,중소기업전략기술연구조사(R&D),"1,758 "
232,중소벤처기업부,민관협력창업자육성,"102,440 "
233,중소벤처기업부,긴급경영안정자금(융자),"500,000 "
234,중소벤처기업부,신성장기반자금(융자),"1,770,000 "
235,중소벤처기업부,신시장진출지원자금(융자),"500,000 "
236,중소벤처기업부,신용보증기금출연(일반),"300,000 "
237,중소벤처기업부,지역신용보증재단재보증,"236,886 "
238,중소벤처기업부,투융자복합금융(융자),"140,000 "
239,중소벤처기업부,혁신창업사업화자금(융자),"2,250,000 "
240,중소벤처기업부,규제자유특구제도운영,"4,779 "
241,중소벤처기업부,창업저변확대,"53,185 "
242,중소벤처기업부,중소기업모태조합출자(특별),"60,000 "
243,중소벤처기업부,기술·경영지도,"3,727 "
244,중소벤처기업부,기술보증기금출연,"330,000 "
245,중소벤처기업부,벤처기업경쟁력강화,"6,507 "
246,중소벤처기업부,창업생태계기반구축,"126,637 "
247,중소벤처기업부,혁신선도형중소기업투자,"40,100 "
248,중소벤처기업부,소상공인성장지원,"131,396 "
249,중소벤처기업부,소상공인창업지원,"23,768 "
